cenario,id,tipo,t_entrada,status,biometria,t_chamada,t_fim,espera_seg,atendimento_seg
Cenário_A,211,urgent,2026-02-22 01:10:02.053870,done,success,2026-02-22 01:10:13.389097,2026-02-22 01:10:21.923718,11.335227,8.534621
Cenário_A,212,priority,2026-02-22 01:10:02.383688,done,success,2026-02-22 01:10:42.062300,2026-02-22 01:10:49.305711,39.678612,7.243411
Cenário_A,213,urgent,2026-02-22 01:10:02.660923,no_show,N/A,2026-02-22 01:10:21.986962,2026-02-22 01:10:22.045254,19.326039,0.058292
Cenário_A,214,normal,2026-02-22 01:10:02.937231,waiting,N/A,,,,
Cenário_A,215,priority,2026-02-22 01:10:03.219835,done,success,2026-02-22 01:10:49.384272,2026-02-22 01:10:58.394700,46.164437,9.010428
Cenário_A,216,normal,2026-02-22 01:10:03.498030,waiting,N/A,,,,
Cenário_A,217,normal,2026-02-22 01:10:03.751910,waiting,N/A,,,,
Cenário_A,218,normal,2026-02-22 01:10:04.003147,waiting,N/A,,,,
Cenário_A,219,normal,2026-02-22 01:10:04.264516,waiting,N/A,,,,
Cenário_A,220,urgent,2026-02-22 01:10:04.514908,done,success,2026-02-22 01:10:22.128179,2026-02-22 01:10:31.904407,17.613271,9.776228
Cenário_A,221,priority,2026-02-22 01:10:04.768365,done,success,2026-02-22 01:10:58.501382,2026-02-22 01:11:06.846642,53.733017,8.34526
Cenário_A,222,priority,2026-02-22 01:10:05.035025,done,fail,2026-02-22 01:11:06.926636,2026-02-22 01:11:16.296472,61.891611,9.369836
Cenário_A,223,normal,2026-02-22 01:10:05.347748,waiting,N/A,,,,
Cenário_A,224,priority,2026-02-22 01:10:05.601105,done,success,2026-02-22 01:11:16.350866,2026-02-22 01:11:22.531547,70.749761,6.180681
Cenário_A,225,normal,2026-02-22 01:10:05.874252,waiting,N/A,,,,
Cenário_A,226,normal,2026-02-22 01:10:06.137414,waiting,N/A,,,,
Cenário_A,227,normal,2026-02-22 01:10:06.405339,waiting,N/A,,,,
Cenário_A,228,priority,2026-02-22 01:10:06.688092,done,success,2026-02-22 01:11:22.629414,2026-02-22 01:11:27.966387,75.941322,5.336973
Cenário_A,229,normal,2026-02-22 01:10:06.981251,waiting,N/A,,,,
Cenário_A,230,normal,2026-02-22 01:10:07.259764,waiting,N/A,,,,
Cenário_A,231,priority,2026-02-22 01:10:07.553224,done,success,2026-02-22 01:11:28.029639,2026-02-22 01:11:33.189088,80.476415,5.159449
Cenário_A,232,normal,2026-02-22 01:10:07.829536,waiting,N/A,,,,
Cenário_A,233,normal,2026-02-22 01:10:08.100702,waiting,N/A,,,,
Cenário_A,234,normal,2026-02-22 01:10:08.369293,waiting,N/A,,,,
Cenário_A,235,normal,2026-02-22 01:10:08.631956,waiting,N/A,,,,
Cenário_A,236,normal,2026-02-22 01:10:08.932184,waiting,N/A,,,,
